name,description,full_address,address,state,website,phone,email,status,user_id,categories
Edmund Rice Centre for Justice and Community Education,,"15 Henley Rd, Homebush West NSW 2140","15 Henley Rd, Homebush West NSW 2140",NSW,www.erc.org.au,02 8762 4200,erc@erc.org.au,confirmed,admin,Community
NSW Service for the Treatment and Rehabilitation of Torture and Trauma Survivors,,"152-168 The Horsley Drive, Carramar NSW 2163","152 The Horsley Drive, Carramar NSW 2163",NSW,www.startts.org.au,02 9794 1900,startts@sswahs.nsw.gov.au,confirmed,admin,"Health, Community"
NSW Refugee Health Service,,"Suite 1, Level 3, 157-161 George Street, Liverpool NSW 2170","157 George Street, Liverpool NSW 2170",NSW,www.swslhd.nsw.gov.au/refugee,02 8778 0770,SWSLHD-RefugeeHealth@health.nsw.gov.au,confirmed,admin,"Health, Community"
Settlement Services International,,"2/158 Liverpool Road, Ashfield (head office) NSW 2131","158 Liverpool Road, Ashfield NSW 2131",NSW,www.ssi.org.au,02 8799 6700,info@ssi.org.au,confirmed,admin,Community
"Department of Justice, NSW",,"160 Marsden St, Parramatta NSW NSW 2124","160 Marsden St, Parramatta NSW 2124",NSW,http://www.justice.nsw.gov.au/,02 8688 7777,,confirmed,admin,Community
Illawarra Multicultural Services,,"17 Auburn Street, Wollongong NSW 2500","17 Auburn Street, Wollongong NSW 2500",NSW,http://www.ims.org.au/,02 4229 6855,info@ims.org.au,confirmed,admin,Legal
Auburn Diversity Services Inc,,"17 Macquarie Road, Auburn NSW 2144","17 Macquarie Road, Auburn NSW 2144",NSW,http://www.adsi.org.au/,02 8737 5500,info@adsi.org.au,confirmed,admin,Community
"St James' Church, King St, Sydney",,"173 King St, Sydney NSW 2000","173 King St, Sydney NSW 2000",NSW,http://sjks.org.au/,02 8227 1300,,confirmed,admin,Community
Multicultural NSW,,"Level 8, 175 Castlereagh St, Sydney NSW 2000","175 Castlereagh Street, Sydney 2000",NSW,http://multicultural.nsw.gov.au/,02 82556767,contact@multicultural.nsw.gov.au,confirmed,admin,Community
Australian Human Rights Commission,,"Level 3, 175 Pitt Street , Sydney NSW 2000","175 Pitt Street, Sydney NSW 2000",NSW,https://www.humanrights.gov.au/,02 9284 9600,inforservice@humanrights.gov.au (for complaints),confirmed,admin,Community
Maccarthur Diversity Services Initiative,,"Level 3, Suite 2 Campbelltown City Centre 171-179 Queen Street , Campbelltown NSW","179 Queen Street , Campbelltown NSW 2560",NSW,http://mdsi.org.au/,02 4627 1188,info@mdsi.org.au,confirmed,admin,Community
Sanctuary Australia Foundation,,"1/19 Park Ave, Coffs Harbour NSW 2450","19 Park Ave, Coffs Harbour NSW 2450",NSW,https://www.sanctuaryaustraliafoundation.org.au,02 6652 2127,,confirmed,admin,Health
House of Welcome,,"197 The Trongate, Granville NSW 2142","197 The Trongate, Granville NSW 2142",NSW,www.houseofwelcome.com.au,02 9727 9290,office@houseofwelcome.com.au,confirmed,admin,"Education, Community, Visa, Financial, Housing"
Centacare: Wagga Wagga,,"201 Tarcutta Street, Wagga Wagga NSW 2650","201 Tarcutta Street, Wagga Wagga NSW 2650",NSW,https://www.centacareswnsw.org.au,02 6923 3888,info@centacareswnsw.org.au,confirmed,admin,Community
Baptist Care Australia,,"Level Two, 22 Brookhollow Avenue , NSW 2153","22 Brookhollow Avenue, NSW 2153",NSW,www.baptistcareaustralia.org.au,1300 275 227,info@baptistcareaustralia.org.au,confirmed,admin,Community
"Migrant Outreach Services: Advice, Information, Community Education (MOSAIC)",,"Shop 1 & 2/20-22 Station Street, Marrickville NSW 2204","22 Station Street, Marrickville NSW 2204",NSW,http://www.justiceconnect.org.au/our-programs/mosaic,,mosaic@justiceconnect.org.au,confirmed,admin,Visa
Uniting Church National Assembly,,"Level 10, 222 Pitt Street, Sydney NSW 2000","222 Pitt Street, Sydney NSW 2000",NSW,https://assembly.uca.org.au/contact,02 8267 4428,enquiries@nat.uca.org.au,confirmed,admin,Community
ActionAid Australia,,"3/25 Cooper Street Surry Hills NSW, 2010, Surry Hills NSW 2010","25 Cooper Street Surry Hills NSW, 2010",NSW,https://actionaid.org.au/,61 2 9565 911,info.au@actionaid.org,confirmed,admin,Community
Jesuit Social Services Western Sydney,,"254 Luxford Road, Mt Druitt NSW 2770","254 Luxford Road, Mt Druitt NSW 2770",NSW,http://jss.org.au/,02 9628 2288,jss@jss.org.au,confirmed,admin,"Legal, Health, Community, Education"
Strategic Community Assistance to Refugee Families,,"26 Atchison Street, Wollongong NSW 2500","26 Atchison Street, Wollongong NSW 2500",NSW,www.scarf1.org.au/,02 4224 8646,community.engagement@scarfsupport.org.au,confirmed,admin,"Community, Education"
Nepean Migrant Access,,"29 Swanston St, St Marys NSW 2760","29 Swanston St, St Marys NSW 2760",NSW,www.nma.org.au,02 9833 2416,nma@nma.org.au,confirmed,admin,Community
Refugee Advice and Casework Service,,"1-3 Eurimbla Ave, Randwick NSW 2031","3 Eurimbla Ave, Randwick NSW 2031",NSW,www.racs.org.au,02 8355 7227,admin@racs.org.au,confirmed,admin,Visa
Sydney Multicultural Community Services,,"3 General Bridges Cres,, Daceyville NSW 2032","3 General Bridges Cres, Daceyville NSW 2032",NSW,www.sydneymcs.org.au/,02 9663 3922,info@sydneymcs.org.au,confirmed,admin,Community
Anglicare Refugee Services,,"Level 5, 31-39 Macquarie Street, Paramatta NSW 2150","31 Macquarie Street, Paramatta NSW 2150",NSW,www.anglicare.org.au,02 9895 8144,,confirmed,admin,"Education, Community, Health"
Australian Education Union New South Wales Teachers Federation Branch,,"23-33 Mary Street, Surry Hills NSW 2010","33 Mary Street, Surry Hills NSW 2010",NSW,https://www.nswtf.org.au/,1300 654 369,https://www.nswtf.org.au/contact,confirmed,admin,Community
"Mission and Ministry Unit, Institute of the Sisters of Mercy Australia PNG",,"33 Myrtle Street, Stanmore NSW 2048","33 Myrtle Street, Stanmore NSW 2048",NSW,http://institute.mercy.org.au/about-us/mission-and-ministry/,,institute@ismapng.org.au,confirmed,admin,Community
Institute of Sisters of Mercy of Australia and Papau New Guinea,,"33 Myrtle Street, Stanmore NSW 2048","33 Myrtle Street, Stanmore NSW 2048",NSW,http://institute.mercy.org.au/,,institute@ismapng.org.au,confirmed,admin,"Health, Housing, Education"
Sisters of Charity of Australia,,"Level 7, 35 Grafton Street, Bondi Junction NSW 2022","35 Grafton Street, Bondi Junction NSW 2022",NSW,http://www.sistersofcharity.org.au/,02 9367 1222,congregation@rscoffice.com,confirmed,admin,Community
ReachOut Parents Coaching,,"Level 2, 35 Saunders Street, Pyrmont NSW","35 Saunders Street, Pyrmont  NSW 2009 ",NSW,,02 80297777,contact@reachout.com,confirmed,admin,"Health, Community"
Catholic Religious Australia,,"36 Collins St , Annandale NSW 2038","36 Collins St , Annandale NSW 2038",NSW,,02 9557 2695,nationalexec@catholicreligiousaustralia.org.au,confirmed,admin,Community
Marist 180,,"36 First Avenue, Blacktown NSW 2148","36 First Avenue, Blacktown NSW 2148",NSW,https://marist180.org.au/,02 9672 9200,info@m180.org.au,confirmed,admin,"Housing, Visa, Financial, Health, Community"
Marist180,,"36 First Avenue, Blacktown NSW 2148","36 First Avenue, Blacktown NSW 2148",NSW,https://marist180.org.au/,02 9672 9200,info@m180.org.au,confirmed,admin,"Employment, Community"
Immigration Advice and Rights Centre,,"Level 5, 362 Kent Street, Sydney NSW 2000","362 Kent Street, Sydney NSW 2000",NSW,www.iarc.asn.au,02 8234 0799,iarcadmin@iarc.asn.au,confirmed,admin,Visa
Playfair Visa and Migration Services,,"Suite 1103, 37 Bligh Street, Sydney NSW 2000","37 Bligh Street, Sydney NSW 2000",NSW,http://www.playfair.com.au,02 9233 8899,info@playfair.com.au,confirmed,admin,Visa
Act for Peace,,"Level 7, 379 Kent Street, Sydney NSW 2000","379 Kent Street, Sydney NSW 2000",NSW,www.actforpeace.org.au,1800 025 101,info@actforpeace.org.au,confirmed,admin,Community
National Council for Churches in Australia,,"Level 7, 379 Kent Street, Sydney NSW 2000","379 Kent Street, Sydney NSW 2000",NSW,http://www.ncca.org.au/,,secretariat@ncca.org.au,confirmed,admin,Community
Jesuit Refugee Service,,"Arrupe Place, 4 Victoria Rd, Parramatta NSW 2150","4 Victoria Road, Parramatta NSW 2150",NSW,www.jrs.org.au,02 9098 9336,info@jrs.org.au,confirmed,admin,"Employment, Education, Housing, Financial, Health, Community"
The Mercy Foundation,,"40 Rocklands Road, Crows Nest NSW 2060","40 Rocklands Road, Crows Nest NSW 2060",NSW,www.mercyfoundation.com.au/,02 99117390,office@mercyfoundation.com.au,confirmed,admin,Community
Refugee Council of Australia,,"Suite 4A6,410 Elizabeth Street, Surry Hills NSW 2010","410 Elizabeth Street, Surry Hills NSW 2010",NSW,https://www.refugeecouncil.org.au/,,,confirmed,admin,Community
Asylum Seekers Centre,,"43 Bedford Street, Newtown NSW 2042","43 Bedford Street, Newtown NSW 2042",NSW,www.asylumseekerscentre.org.au,02 9078 1900,contactus@asylumseekerscentre.org.au,confirmed,admin,"Legal, Education, Employment, Community, Everyday"
St Vincent de Paul Refugee Support Services,,"N/A, Surry Hills NSW 2010","43 Prospect Street, Box Hill Vic 3128",NSW,https://www.vinnies.org.au/page/Our_Impact/Asylum_Seekers_Migrants_Refugees/,02 8622 0419,AsylumSeekerProgram@vinnies.org.au,confirmed,admin,"Employment, Education, Everyday, Financial, Community"
Auburn Centre for Community,,"44a Macquarie Road, Auburn NSW 2144","44a Macquarie Road, Auburn NSW 2144",NSW,,02 8757 9000,bookings@cumberland.nsw.gov.au,confirmed,admin,"Visa, Everyday, Health"
Australian Red Cross (NSW head office),,"St Andrew's House, Level 3, 464 Kent Street, Sydney NSW 2000","464 Kent Street, Sydney NSW 2000",NSW,http://www.redcross.org.au/migration-support.aspx,02 9229 4111,nswinfo@redcross.org.au,confirmed,admin,"Legal, Financial, Community"
Transcultural Mental Health Centre,,"Building 53, Cumberland Hospital Campus, 5 Fleet Street, North Parramatta NSW 2151","5 Fleet Street, North Parramatta NSW 2151",NSW,www.dhi.health.nsw.gov.au/tmhc,02 9912 3850 ,tmhc@health.nsw.gov.au,confirmed,admin,Health
God's Dwelling Place Bethany City Church Inc,,"500 Harris Street, Ultimo NSW 2007","500 Harris Street, Ultimo NSW 2007",NSW,http://www.bethanysydney.org.au,0412 684 943,info@bethanysydney.org,confirmed,admin,Community
Multicultural Council of Wagga Wagga,,"53 Trail Street , Wagga Wagga NSW 2650","53 Trail Street , Wagga Wagga NSW 2650",NSW,www.mcww.org.au,02 6921 6666,multicultural@mcww.org.au,confirmed,admin,Community
Waverley Council,,"55 Spring St, Bondi Junction NSW 2022","55 Spring St, Bondi Junction NSW 2022",NSW,http://www.waverley.nsw.gov.au/,02 9083 8000,info@waverley.nsw.gov.au,confirmed,admin,Community
Macedonian Australian Welfare Association of Sydney,,"552 Princes Highway, Rockdale NSW 2216","552 Princes Highway, Rockdale NSW 2216",NSW,http://www.mawasydney.org.au/,02 9597 5455,cpp@mawasydney.org.au,confirmed,admin,Community
Advance Diversity Services,,"552 Princes Hwy, Rockdale NSW 2216","552 Princes Hwy, Rockdale NSW 2216",NSW,http://advancediversity.org.au/,02 9597 5455,info@advancediversity.org.au,confirmed,admin,Community
Islamic Relief Australia NSW,,"56 Auburn Rd, Auburn NSW 2144","56 Auburn Rd, Auburn NSW 2144",NSW,www.islamic-relief.com.au,1300 308 554,,confirmed,admin,Community
Mission Australia,,"Level 6, 580 George St, Sydney NSW 2000","580 George Street, Sydney NSW 2000",NSW,,02 9219 2000,,confirmed,admin,Legal
Career Seekers,,"Nous House, 34/60 Margaret St, Sydney NSW 2000","60 Margaret St, Sydney NSW 2000",NSW,http://www.careerseekers.org.au/,,info@careerseekers.org.au,confirmed,admin,Employment
Anglicare Migrant and Refugee Services (Sydney),,"Level 2, 62 Norwest Blvd, Baulkham Hills NSW 2153","62 Norwest Blvd, Baulkham Hills NSW 2153",NSW,https://www.anglicare.org.au/what-we-offer/migrant-refugee-assistance/,1300 111 278,,confirmed,admin,"Education, Health"
Metro Assist,,"Level 2, 59-63 Evaline Street , Campsie NSW 2194","63 Evaline Street, Campsie NSW 2194",NSW,www.metroassist.org.au/,02 8594 0300,metroassist@metroassist.org.au,confirmed,admin,Community
Assyrian Australian Association,,"673 Smithfield Rd, Edensor Park NSW 2176","673 Smithfield Rd, Edensor Park NSW 2176",NSW,http://assyrianaustralian.org.au/,02 9728 2594,info@assyrianaustralian.org.au,confirmed,admin,Community
Anglicare North Coast,,"7 Wiseman Way, Grafton NSW 2460","7 Wiseman Way, Grafton NSW 2460",NSW,www.anglicarenorthcoast.org.au/,02 6643 4844,admin@anglicarenc.org.au,confirmed,admin,Community
UTS Art Gallery,,"Level 4, 702 Harris St, Ultimo NSW 2007","702 Harris Street, Ultimo NSW 2007",NSW,http://art.uts.edu.au/,02 9514 1652,utsgallery@uts.edu.au,confirmed,admin,Community
Amnesty International Australia Refugee Team,,"Level 1, 79 Myrtle Street, Chippendale NSW 2007","79 Myrtle Street, Chippendale NSW 2007",NSW,https://www.amnesty.org.au/,02 8396 7670,refugee.team@amnesty.org.au,confirmed,admin,Legal
Northern Settlement Services,,"8 Chaucer Street, Hamilton NSW 2303","8 Chaucer Street, Hamilton NSW 2303",NSW,https://nsservices.com.au/,02 4969 3399,nss@nsservices.com.au,confirmed,admin,Legal
Salvos Legal Humanitarian Sydney,,"81-83 Campbell Street, Surry Hills NSW 2010","81 Campbell Street, Surry Hills NSW 2010",NSW,www.salvoslegal.com.au/our_services/humanitarian,02 8202 1500,enquiries@salvoslegal.com.au,confirmed,admin,"Health, Community"
Life Without Barriers,,"Suite 1, Level 1, 81 Railway Street, Rockdale NSW 2216","81 Railway Street, Rockdale NSW 2216",NSW,www.lwb.org.au,02 9508 4000,info@lwb.org.au,confirmed,admin,"Legal, Visa, Employment, Health, Everyday, Financial"
Kah Lawyers,,"2/83 George Street Parramatta
NSW, Australia 2150","83 George Street Parramatta
NSW, Australia 2150",NSW,kahlawyers.com,02 9689 3173,reception@kahlawyers.com,confirmed,admin,"Legal, Visa"
Catholic Education Office Wollongong,,"86-88 Market St, Wollongong NSW 2500","88 Market St, Wollongong NSW 2500",NSW,https://www.dow.catholic.edu.au/,02 4253 0800,info@dow.catholic.edu.au,confirmed,admin,Community
Catholics in Coalition for Justice & Peace,,"1st Floor, 9 Alexandra Ave, Croydon NSW 2132","9 Alexandra Ave, Croydon NSW 2132",NSW,http://www.ccjpoz.org/,02 9745 0820,ccjp@bigpond.com,confirmed,admin,Community
Muslims Australia - Australian Federation of Islamic Councils,,"932 Bourke St, Zetland NSW 2017","932 Bourke St, Zetland NSW 2017",NSW,www.muslimsaustralia.com.au,02 9319 6733,admin@muslimsaustralia.com.au,confirmed,admin,Community
Australian Association For The Wellbeing Of Children In Health Care,,"Gladesville Hospital Building 40B , Gladesville NSW 2111","Cnr Victoria & Punt Roads
Gladesville NSW 2111
Australia",NSW,http://www.awch.org.au/,02 9817 2439,a w c h w a @ health.wa.gov.au,confirmed,admin,Community
Australian Refugee Volunteers,,"G. P. O. Box 464, Sydney NSW 2001","G. P. O. Box 464, Sydney NSW 2001",NSW,https://www.arvolunteers.org/,02 8098 7874,info@arvolunteers.org,confirmed,admin,Community
The Smith Family,,"GPO Box 10500, Sydney NSW 2001, NSW","GPO Box 10500, Sydney NSW 2001, NSW",NSW,https://www.thesmithfamily.com.au/,1300 326 459,tsfmktg@thesmithfamily.com.au,confirmed,admin,Community
Human Rights Watch,,"GPO Box 4278, Sydney NSW 2001","GPO Box 4278, Sydney NSW 2001",NSW,https://www.hrw.org/,,,confirmed,admin,Community
Australian Clinical Psychology Association,,"GPO Box 4489, Sydney NSW 2001","GPO Box 4489, Sydney NSW 2001",NSW,http://www.acpa.org.au/,,,confirmed,admin,Health
Blue Mountains Refugee Support Group,,", Wentworth Falls NSW 2782",P.O.Box 201 Wentworth Falls NSW 2782,NSW,http://www.bmrsg.org.au,,secretary@bmrsg.org.au,confirmed,admin,"Education, Housing, Financial, Employment, Everyday"
Indigo Foundation,,"PO Box 362, Figtree NSW 2525","PO Box 362, Figtree NSW 2525",NSW,https://www.indigofoundation.org/,,info@indigofoundation.org,confirmed,admin,Community
Australia Western Sahara Association,,"AWSA, PO Box 849, Rozelle NSW 2039","PO Box 849, Rozelle NSW 2039",NSW,http://awsa.org.au/,,info@awsa.org.au,confirmed,admin,Community
Immigrant Women's Speakout,,"PO Box 9031
Harris Park
NSW
2150","PO Box 9031
Harris Park
NSW
2150",NSW,http://www.speakout.org.au/,02 9635-8022,women@speakout.org.au,confirmed,admin,Community
Bridge for Asylum Seekers Foundation,,", Five Dock NSW 2046","PO Box 868, Newtown NSW 2042",NSW,http://www.asylumseekersfoundation.com/,041 826-1160,info@asylumseekersfoundation.com,confirmed,admin,"Housing, Financial"
Northern Australia Primary Health Care LTD Refugee Health Coordination Nurse,,"Level 4 Clinical Practice Building, 1 James Cook Drive, Douglas QLD 4814","1 James Cook Drive, Douglas QLD 4814",QLD,https://www.naphl.com.au,07 47228763,ggreen@naphl.com.au,confirmed,admin,Health
St Vincent de Paul Society QLD,,"10 Merivale St, South Brisbane QLD 4101","10 Merivale St, South Brisbane QLD 4101",QLD,www.vinnies.org.au,07 3381 4500,rebecca.barnett@svdpqld.org.au,confirmed,admin,Visa
"Catholic Diocese of Toowoomba, Social Justice Commission",,"St Patrick's Cathedral Centre, 123 Neil Street, Toowoomba QLD 4350","123 Neil Street, Toowoomba QLD 4350",QLD,http://www.twb.catholic.org.au/ministry/social-justice-commission/,07 4613 0895,justice@twb.catholic.org.au,confirmed,admin,Community
Refugee and Immigration Legal Service (RAILS),,"Level 1, 170 Boundary Street, West End QLD 4101","170 Boundary Street, West End QLD 4101",QLD,www.rails.org.au,07 3846 9300,amin@rails.org.au,confirmed,admin,"Education, Community"
Milpera State High School,,"2 Parker Street, Chelmer QLD 4068","2 Parker Street, Chelmer QLD 4068",QLD,https://milperashs.eq.edu.au/Pages/default.aspx,07 3270 3222,admin@milperashs.eq.edu.au,confirmed,admin,"Employment, Education"
Romero Centre,,"20 Dutton Street, Dutton Park QLD 4102","20 Dutton Street, Dutton Park QLD 4102",QLD,http://www.romero.mercycs.org.au/,07 3013 0100,romero.admin@mercycs.org.au,confirmed,admin,"Employment, Community"
Toowoomba Community Organic Gardens Association Inc.,,"20-22 Goggs St, Toowoomba City QLD 4350","22 Goggs St, Toowoomba City QLD 4350",QLD,www.toga.org.au,,secretary@toga.org.au,confirmed,admin,Community
Mercy Community Services,,"22 Morris Street, Wooloowin QLD 4030","22 Morris Street, Wooloowin QLD 4030",QLD,http://www.mercycs.org.au/,07 3866 4160,info@mercycs.org.au,confirmed,admin,Community
Ethnic Communities Council of Queensland,,"253 Boundary St, West End QLD 4101","253 Boundary St, West End QLD 4101",QLD,http://www.eccq.com.au/,07 3844 9166,administration@eccq.com.au,confirmed,admin,Community
Salvos Legal Humanitarian Goodna,,"27 Smiths Road, Goodna QLD 4300","27 Smiths Road, Goodna QLD 4300",QLD,https://www.salvoslegal.com.au/expertise/humanitarian-free-legal-service/,07 3280 8860,enquiries@salvoslegal.com.au,confirmed,admin,Visa
Salvos Legal Asylum Seeker Clinic,,"28 Dibley St, Goodna QLD 4300","28 Dibley St, Goodna QLD 4300",QLD,http://www.salvoslegal.com.au/our_services/humanitarian,07 3280 8860,enquiries@salvoslegal.com.au,confirmed,admin,Visa
MDA Ltd,,"28 Dibley Street, Woolloongabba QLD 4102","28 Dibley Street, Woolloongabba QLD 4102",QLD,mdaltd.org.au,07 3337 5400,,confirmed,admin,Community
Multicultural Development Australia,,"Brisbane Multicultural Centre, 28 Dibley Street, Woolloongabba QLD 4102","28 Dibley Street, Woolloongabba QLD 4102",QLD,https://mdaltd.org.au/,07 3337 5400,welcome@mdaltd.org.au,confirmed,admin,Community
Queensland Program of Assistance to Survivors of Torture and Trauma,,"28 Dibley Street, Woolloongabba QLD 4102","28 Dibley Street, Woolloongabba QLD 4102",QLD,http://qpastt.org.au/,07 3391 6677,admin@qpastt.org.au,confirmed,admin,"Community, Education"
Friends of HEAL Foundation,,"35 Orontes Road, Yeronga QLD 4104","35 Orontes Road, Yeronga QLD 4104",QLD,www.fheal.com.au,0413 627 826,admin@fheal.com.au,confirmed,admin,Health
Multilink Community Services Inc,,"38 Blackwood Road, Logan Central QLD 4114","38 Blackwood Road, Logan Central QLD 4114",QLD,http://www.multilink.org.au,07 3808 4463,support@MultiLink.org.au,confirmed,admin,"Education, Community"
Inala Community House,,"38 Sittella Street, Inala QLD 4077","38 Sittella Street, Inala QLD 4077",QLD,http://www.ich.org.au/,07 3372 1711,,confirmed,admin,Community
Australian Red Cross (Migration Support and Services Hub),,"Humanity Place 49 Park Rd, Milton QLD 4064","49 Park Rd, Milton QLD 4064",QLD,http://www.redcross.org.au/migration-hubs.aspx,07 3367 5665,qldredcross@redcross.org.au,confirmed,admin,Community
Brisbane Refugee and Asylum Seeker Support Network,,"Justice Place, 5 Abingdon Street, Woolloongabba QLD 4102","5 Abingdon Street, Woolloongabba QLD 4102",QLD,http://www.brassnetwork.org/,,info@brassnetwork.org,confirmed,admin,Community
Toowoomba Refugee and Migrant Support,,"502 Ruthven Street , Toowoomba QLD 4350","502 Ruthven Street , Toowoomba QLD 4350",QLD,http://www.catholiccare.services/services/trams/,1300 477 433,enquiries@catholiccare.services,confirmed,admin,"Community, Employment"
Townsville Multicultural Support Group,,"63 Ross River Road, Mundingburra QLD 4812","63 Ross River Road, Mundingburra QLD 4812",QLD,http://www.tmsg.org.au/,07 4775 1588,admin@tmsg.org.au,confirmed,admin,"Community, Education"
TAFE Queensland English Language and Literacy Services,,"Level 3, A Block 66 Ernest Street, South Brisbane QLD 4101","66 Ernest Street, South Brisbane QLD 4101",QLD,http://tafeqld.edu.au/about-us/TELLS/,07 3244 5488,tells@tafe.qld.edu.au,confirmed,admin,"Employment, Housing"
Catholic Diocese of Toowoomba,,"68 Lindsay Street, Toowoomba QLD 4350","68 Lindsay Street, Toowoomba QLD 4350",QLD,http://www.twb.catholic.org.au/,07 4632 4277,bishsec@twb.catholic.org.au,confirmed,admin,Community
Access Community Services Limited,,"92 Wembley Road, Logan Central QLD 4114","92 Wembley Road, Logan Central QLD 4114",QLD,http://www.accesscommunity.org.au/,07 3412 8222,enquiries@acsl.org.au,confirmed,admin,Community
"Camps, Sports and Excursions Fund (CSEF) - (Victorian State Gov't) ","Money to help pay for camps, sports and excursions.
 
 Families holding a valid means-tested concession card or temporary foster parents are eligible to apply. $125 per year is paid for eligible primary school students, with $225 per year paid for eligible secondary school s​tudents. A speci​​al consideration eligibility category also exists. Payments are made directly to the school and are tied to the student.
 
 Special Consideration is given to families on a Bridging Visa, Temporary Protection Visa, Community Detention and Asylum Seeker families; therefore they are eligible for CSEF. A letter from the Australian Red Cross, AMES, or similar welfare institution is required as evidence. A copy of an 'immi' card is also acceptable evidence. These applications are processed as ‘Special Consideration’ category applications in the CSEF system.
 
 For more information on eligibility please refer to: http://www.education.vic.gov.au/about/programs/health/Pages/csef.aspx.", , ,VIC,http://www.education.vic.gov.au/about/programs/health/Pages/csef.aspx,Contact school,Contact school,confirmed,admin,Community
New Hope Foundation - Sunshine-Sunshine,The New Hope Foundation delivers programs that support migrants and refugees across different life stages in the settlement and migration journey.,"Unit 1, 5 Devonshire Road Sunshine"," 5 Devonshire road, Sunshine VIC 3020",VIC,http://www.newhope.asn.au,03 8582 1854,sunshine@newhope.asn.au,confirmed,admin,Community
